Trading name,CLUE small area,Seating type,Number of seats,Longitude,Latitude,derived_cuisine
Code Black,Melbourne (CBD),Seats - Indoor,30,144.962184393,-37.81615528,Other Cuisines
Disciples of Epicurus,Melbourne (CBD),Seats - Outdoor,22,144.963497878,-37.81592157,Other Cuisines
Disciples of Epicurus,Melbourne (CBD),Seats - Indoor,44,144.963497878,-37.81592157,Other Cuisines
Betty's Burgers,Melbourne (CBD),Seats - Indoor,88,144.963497878,-37.81592157,Western / Pub / Bistro
Momo Central,Melbourne (CBD),Seats - Outdoor,6,144.963293794,-37.81554941,Other Cuisines
The Workers Foodroom,Melbourne (CBD),Seats - Indoor,8,144.963293794,-37.81554941,Other Cuisines
Quando Quando Cucina & Bar,Melbourne (CBD),Seats - Outdoor,6,144.962439132,-37.81585501,Western / Pub / Bistro
11 Inch Pizza,Melbourne (CBD),Seats - Indoor,22,144.962984348,-37.81570426,Italian
Dodee Paidang Thai Bar And Cafe,Melbourne (CBD),Seats - Indoor,80,144.962984348,-37.81570426,Thai
Ilza,Melbourne (CBD),Seats - Outdoor,8,144.962984348,-37.81570426,Other Cuisines
Vespa Rossa,Melbourne (CBD),Seats - Indoor,88,144.964466115,-37.81529155,Other Cuisines
Le Petit Chateau,Melbourne (CBD),Seats - Indoor,24,144.964428319,-37.81561893,Cafe / Coffee Shop
Casa Frida,Melbourne (CBD),Seats - Indoor,52,144.964225403,-37.81528948,Other Cuisines
Momo station,Melbourne (CBD),Seats - Outdoor,18,144.965777332,-37.81507697,Other Cuisines
Momo station,Melbourne (CBD),Seats - Indoor,34,144.965777332,-37.81507697,Other Cuisines
Bistrot d'Orsay,Melbourne (CBD),Seats - Indoor,50,144.967277747,-37.81485585,Western / Pub / Bistro
MORENA,Melbourne (CBD),Seats - Indoor,46,144.970722603,-37.81360963,Other Cuisines
Barra,Melbourne (CBD),Seats - Indoor,36,144.970722603,-37.81360963,Western / Pub / Bistro
Bowls Baby,Melbourne (CBD),Seats - Outdoor,20,144.970722603,-37.81360963,Other Cuisines
Farmer's Daughters,Melbourne (CBD),Seats - Indoor,68,144.970722603,-37.81360963,Other Cuisines
Maverick Coffee And Food,Melbourne (CBD),Seats - Outdoor,18,144.970722603,-37.81360963,Cafe / Coffee Shop
Market Lane Coffee,Melbourne (CBD),Seats - Outdoor,10,144.973257507,-37.81314231,Cafe / Coffee Shop
Coffee Exchange,Melbourne (CBD),Seats - Outdoor,20,144.973183613,-37.81260038,Cafe / Coffee Shop
Coffee Exchange,Melbourne (CBD),Seats - Indoor,30,144.973183613,-37.81260038,Cafe / Coffee Shop
Cafe Excello,Melbourne (CBD),Seats - Outdoor,28,144.973183613,-37.81260038,Cafe / Coffee Shop
Cafe Excello,Melbourne (CBD),Seats - Indoor,30,144.973183613,-37.81260038,Cafe / Coffee Shop
Saravanaa Bhavan Melbourne,Melbourne (CBD),Seats - Indoor,96,144.955503913,-37.81708323,Other Cuisines
Zuppa,Melbourne (CBD),Seats - Outdoor,12,144.957813206,-37.81636534,Other Cuisines
Brioche by Philip,Melbourne (CBD),Seats - Indoor,25,144.957813206,-37.81636534,Other Cuisines
Ca Fe In Melbourne,Melbourne (CBD),Seats - Indoor,8,144.956668779,-37.81651426,Other Cuisines
Coffee Logic,Melbourne (CBD),Seats - Indoor,65,144.956668779,-37.81651426,Cafe / Coffee Shop
Coffee Logic,Melbourne (CBD),Seats - Outdoor,24,144.956668779,-37.81651426,Cafe / Coffee Shop
Doju,Melbourne (CBD),Seats - Indoor,46,144.957088016,-37.81686865,Other Cuisines
Chancery Lane,Melbourne (CBD),Seats - Indoor,300,144.960110059,-37.81596878,Other Cuisines
LE SHOPPE,Melbourne (CBD),Seats - Indoor,15,144.960110059,-37.81596878,Other Cuisines
CQ Bar,Melbourne (CBD),Seats - Indoor,100,144.960636631,-37.81581152,Western / Pub / Bistro
CQ Bar,Melbourne (CBD),Seats - Outdoor,40,144.960636631,-37.81581152,Western / Pub / Bistro
Roti Bar,Melbourne (CBD),Seats - Indoor,68,144.960636631,-37.81581152,Indian
Axil Coffee Roasters,Melbourne (CBD),Seats - Indoor,65,144.962944195,-37.81491502,Italian
Nosh,Melbourne (CBD),Seats - Indoor,30,144.962944195,-37.81491502,Other Cuisines
Brothers & Co,Melbourne (CBD),Seats - Indoor,50,144.962207824,-37.81510975,Other Cuisines
Hopetoun Bakehouse,Melbourne (CBD),Seats - Indoor,20,144.961818541,-37.81514598,Other Cuisines
Cafe Chokolait,Melbourne (CBD),Seats - Indoor,20,144.964012048,-37.81488174,Cafe / Coffee Shop
Cafe Chokolait,Melbourne (CBD),Seats - Outdoor,18,144.964012048,-37.81488174,Cafe / Coffee Shop
Gourmet Curry Hut,Melbourne (CBD),Seats - Indoor,28,144.964012048,-37.81488174,Indian
Gordons Cafe and Bar,Melbourne (CBD),Seats - Outdoor,8,144.964348552,-37.81473293,Cafe / Coffee Shop
Snow Moon,Melbourne (CBD),Seats - Outdoor,10,144.964348552,-37.81473293,Other Cuisines
Snow Moon,Melbourne (CBD),Seats - Indoor,17,144.964348552,-37.81473293,Other Cuisines
Crossways Vegetarian And Vegan Restaurant,Melbourne (CBD),Seats - Outdoor,28,144.965685091,-37.81429892,Other Cuisines
Sushi Hub Swanston 2,Melbourne (CBD),Seats - Indoor,68,144.965613817,-37.81414396,Japanese
Il Bacaro Cucina E Bar,Melbourne (CBD),Seats - Indoor,45,144.967859853,-37.81376794,Italian
Miiki Cake Studio,Melbourne (CBD),Seats - Indoor,22,144.966067574,-37.81379746,Other Cuisines
L'Incontro,Melbourne (CBD),Seats - Outdoor,100,144.966292046,-37.81430553,Other Cuisines
L'Incontro,Melbourne (CBD),Seats - Indoor,20,144.966292046,-37.81430553,Other Cuisines
Heng Thai Local Food Hall,Melbourne (CBD),Seats - Indoor,100,144.969463785,-37.81301069,Thai
Ishizuka,Melbourne (CBD),Seats - Indoor,16,144.969165311,-37.81279907,Other Cuisines
Sushi-Ya,Melbourne (CBD),Seats - Indoor,56,144.970109211,-37.81281453,Japanese
Mad Mex,Melbourne (CBD),Seats - Indoor,41,144.970109211,-37.81281453,Mexican
Lane's Edge Cafe,Melbourne (CBD),Seats - Indoor,26,144.97204722,-37.81193572,Cafe / Coffee Shop
Spaghetti Tree,Melbourne (CBD),Seats - Indoor,280,144.971565871,-37.81212537,Italian
Magpie Nest Cafe,Melbourne (CBD),Seats - Indoor,150,144.971449909,-37.81227428,Cafe / Coffee Shop
Beef Rice Noodle Bar,Melbourne (CBD),Seats - Outdoor,2,144.970902899,-37.812234,Chinese
Waiters Restaurant,Melbourne (CBD),Seats - Indoor,55,144.972350463,-37.81207814,Other Cuisines
San Telmo Restaurant,Melbourne (CBD),Seats - Indoor,85,144.972450949,-37.81221616,Other Cuisines
Pizza Pizza Pizza,Melbourne (CBD),Seats - Indoor,25,144.972450949,-37.81221616,Italian
King Jons,Melbourne (CBD),Seats - Indoor,47,144.955149184,-37.81584127,Other Cuisines
La Di Da,Melbourne (CBD),Seats - Indoor,250,144.955624348,-37.81551353,Other Cuisines
Chilangos,Melbourne (CBD),Seats - Outdoor,16,144.957392295,-37.81531863,Other Cuisines
Sakae,Melbourne (CBD),Seats - Outdoor,20,144.957392295,-37.81531863,Other Cuisines
Dumpling Kingdom,Melbourne (CBD),Seats - Indoor,8,144.957392295,-37.81531863,Chinese
Abacus CBD,Melbourne (CBD),Seats - Indoor,20,144.957392295,-37.81531863,Other Cuisines
Silk spoon,Melbourne (CBD),Seats - Indoor,68,144.95876067,-37.81494883,Other Cuisines
Sushi on little bourke,Melbourne (CBD),Seats - Indoor,44,144.95876067,-37.81494883,Japanese
Villas Restaurant & Bar,Melbourne (CBD),Seats - Indoor,60,144.959196898,-37.81499761,Western / Pub / Bistro
B & Baguette Cafe,Melbourne (CBD),Seats - Outdoor,8,144.959379419,-37.8150902,Cafe / Coffee Shop
Corner & Bench,Melbourne (CBD),Seats - Indoor,32,144.961491987,-37.8144361,Other Cuisines
Chiki Chiki,Melbourne (CBD),Seats - Outdoor,20,144.962707826,-37.81388737,Other Cuisines
Tropicana Juice Bar,Melbourne (CBD),Seats - Outdoor,20,144.962547924,-37.81354034,Western / Pub / Bistro
Rice Paper Scissors,Melbourne (CBD),Seats - Indoor,45,144.961405232,-37.8142907,Other Cuisines
Pandan Dessert Bar,Melbourne (CBD),Seats - Indoor,24,144.961266412,-37.81398751,Western / Pub / Bistro
Osteria Ilaria,Melbourne (CBD),Seats - Indoor,75,144.961991846,-37.81374371,Italian
Serai Kitchen,Melbourne (CBD),Seats - Indoor,54,144.961598239,-37.81379494,Other Cuisines
Serai Kitchen,Melbourne (CBD),Seats - Outdoor,24,144.961598239,-37.81379494,Other Cuisines
Gracie,Melbourne (CBD),Seats - Outdoor,20,144.961204259,-37.81385129,Other Cuisines
Triim,Melbourne (CBD),Seats - Indoor,60,144.961204259,-37.81385129,Other Cuisines
Ca De Vin,Melbourne (CBD),Seats - Outdoor,90,144.963287893,-37.81360425,Other Cuisines
The Louden Kitchen & Grill,Melbourne (CBD),Seats - Indoor,160,144.964646875,-37.81288667,Western / Pub / Bistro
Sam Sam,Melbourne (CBD),Seats - Indoor,90,144.965038641,-37.81289706,Other Cuisines
Melbourne Dae Jang Geum Korean BBQ,Melbourne (CBD),Seats - Indoor,120,144.9658365,-37.81296443,Korean
Mr Bo Restaurant,Melbourne (CBD),Seats - Indoor,80,144.966295166,-37.81272047,Other Cuisines
China Chilli,Melbourne (CBD),Seats - Indoor,180,144.966876772,-37.81259409,Chinese
Pearl Chablis And Oyster Bar,Melbourne (CBD),Seats - Indoor,18,144.967282791,-37.81244678,Western / Pub / Bistro
Sushi Hotaru,Melbourne (CBD),Seats - Indoor,32,144.967282791,-37.81244678,Japanese
Shandong Mama Dumplings,Melbourne (CBD),Seats - Indoor,48,144.967282791,-37.81244678,Chinese
Pinchy's,Melbourne (CBD),Seats - Outdoor,50,144.967282791,-37.81244678,Other Cuisines
Katsuretsu Co,Melbourne (CBD),Seats - Indoor,28,144.967282791,-37.81244678,Other Cuisines
Shanghai Dragon Dumpling House,Melbourne (CBD),Seats - Indoor,28,144.96764788,-37.81246709,Chinese
Hong Kong Cafe,Melbourne (CBD),Seats - Indoor,58,144.96758979,-37.81238087,Cafe / Coffee Shop
Udon Izakaya Maedaya,Melbourne (CBD),Seats - Indoor,50,144.968247927,-37.81251216,Japanese
Ginza Teppanyaki Japanese Restaurant,Melbourne (CBD),Seats - Indoor,200,144.968535908,-37.81206119,Japanese
Tan Hot Pot,Melbourne (CBD),Seats - Indoor,76,144.969182314,-37.81223835,Other Cuisines
sot,Melbourne (CBD),Seats - Indoor,70,144.970170292,-37.81194604,Other Cuisines
Byeok Dol,Melbourne (CBD),Seats - Indoor,90,144.969339824,-37.81146308,Other Cuisines
Hofbrauhaus Restaurant,Melbourne (CBD),Seats - Indoor,138,144.969335255,-37.81160744,Other Cuisines
Hofbrauhaus Restaurant,Melbourne (CBD),Seats - Indoor,73,144.969403095,-37.81175137,Other Cuisines
Grossi Florentino,Melbourne (CBD),Seats - Indoor,210,144.970847236,-37.81172969,Other Cuisines
Bottega Restaurant,Melbourne (CBD),Seats - Indoor,130,144.971007419,-37.81168307,Other Cuisines
Martini With Mancini / Bossa Nova,Melbourne (CBD),Seats - Indoor,30,144.971075461,-37.81166963,Other Cuisines
Martini With Mancini / Bossa Nova,Melbourne (CBD),Seats - Outdoor,12,144.971075461,-37.81166963,Other Cuisines
Pellegrini's Espresso Bar,Melbourne (CBD),Seats - Indoor,40,144.971163378,-37.81165009,Cafe / Coffee Shop
Thong Thai,Melbourne (CBD),Seats - Indoor,38,144.972362677,-37.811289,Thai
Recoleta,Melbourne (CBD),Seats - Indoor,32,144.97255541,-37.81123539,Other Cuisines
Becco,Melbourne (CBD),Seats - Indoor,100,144.971014127,-37.81143018,Other Cuisines
Bossley Bar & Restaurant,Melbourne (CBD),Seats - Outdoor,40,144.970645342,-37.81121462,Western / Pub / Bistro
Hochi Mama,Melbourne (CBD),Seats - Indoor,110,144.971830017,-37.81094349,Other Cuisines
The Daughters Arms,Melbourne (CBD),Seats - Indoor,81,144.971990272,-37.81074304,Other Cuisines
Kiss And Tell Bar,Melbourne (CBD),Seats - Indoor,90,144.971505869,-37.81083595,Western / Pub / Bistro
Bamboo House,Melbourne (CBD),Seats - Indoor,120,144.971109213,-37.81101377,Other Cuisines
Sanjha Chulha Lahore Te Amritsar Da,Melbourne (CBD),Seats - Indoor,48,144.972412935,-37.81127672,Other Cuisines
Dosa Hut Melbourne CBD,Melbourne (CBD),Seats - Indoor,178,144.954926555,-37.81529895,Other Cuisines
Mandarin Food Store,Melbourne (CBD),Seats - Outdoor,20,144.954249339,-37.81498784,Other Cuisines
Higher Ground,Melbourne (CBD),Seats - Indoor,180,144.953525588,-37.81537494,Other Cuisines
My Goodness Pizzas And Burgers,Melbourne (CBD),Seats - Indoor,131,144.953525588,-37.81537494,Italian
Sud Food & Wine,Melbourne (CBD),Seats - Indoor,48,144.956213508,-37.81439357,Other Cuisines
Melbourne Hwaro Korean BBQ,Melbourne (CBD),Seats - Indoor,92,144.955669398,-37.81501702,Korean
Melbourne Hwaro Korean BBQ,Melbourne (CBD),Seats - Outdoor,20,144.955669398,-37.81501702,Korean
Scugnizzo Ristorante,Melbourne (CBD),Seats - Indoor,85,144.955942078,-37.81491966,Italian
Shoku Eatery,Melbourne (CBD),Seats - Indoor,24,144.95704074,-37.8146364,Other Cuisines
Denmark House,Melbourne (CBD),Seats - Indoor,45,144.959722913,-37.81392391,Other Cuisines
Gasthaus On Queen,Melbourne (CBD),Seats - Indoor,55,144.959907268,-37.81386745,Other Cuisines
Sool Tong,Melbourne (CBD),Seats - Indoor,35,144.959907268,-37.81386745,Other Cuisines
215 Queens,Melbourne (CBD),Seats - Indoor,84,144.959874118,-37.81379647,Other Cuisines
Miznon,Melbourne (CBD),Seats - Indoor,70,144.960969734,-37.81338297,Other Cuisines
Miznon,Melbourne (CBD),Seats - Outdoor,30,144.960969734,-37.81338297,Other Cuisines
The Mill,Melbourne (CBD),Seats - Indoor,100,144.960907958,-37.8132345,Other Cuisines
The Mill,Melbourne (CBD),Seats - Outdoor,40,144.960907958,-37.8132345,Other Cuisines
Amigos Hardware Lane,Melbourne (CBD),Seats - Indoor,60,144.960866676,-37.8131434,Other Cuisines
Hencho En Mexico,Melbourne (CBD),Seats - Outdoor,28,144.961106093,-37.81307029,Mexican
Grill Steak Seafood,Melbourne (CBD),Seats - Outdoor,60,144.961167317,-37.81318202,Cafe / Coffee Shop
Crust Gourmet Pizza Bar Melbourne,Melbourne (CBD),Seats - Indoor,24,144.961464779,-37.81291055,Italian
Pho Thin,Melbourne (CBD),Seats - Outdoor,16,144.961012082,-37.81288006,Vietnamese
Woo 399 BBQ Lonsdale St,Melbourne (CBD),Seats - Indoor,104,144.960680876,-37.81303978,Korean
Hawker Boys,Melbourne (CBD),Seats - Outdoor,16,144.960680876,-37.81303978,Other Cuisines
Claypots Barbarossa,Melbourne (CBD),Seats - Outdoor,40,144.960680876,-37.81303978,Western / Pub / Bistro
French Saloon,Melbourne (CBD),Seats - Indoor,50,144.96132824,-37.81354346,Other Cuisines
Blok M Express,Melbourne (CBD),Seats - Indoor,50,144.96132824,-37.81354346,Other Cuisines
Tetsujin,Melbourne (CBD),Seats - Indoor,100,144.963838585,-37.81245199,Other Cuisines
Miga Korean Jeongsik,Melbourne (CBD),Seats - Indoor,60,144.963838585,-37.81245199,Korean
The Beast CBD,Melbourne (CBD),Seats - Indoor,50,144.964839484,-37.8125239,Other Cuisines
Bowltiful Lanzhou Beef Noodles,Melbourne (CBD),Seats - Indoor,60,144.964736445,-37.81230108,Other Cuisines
Pho Ganh,Melbourne (CBD),Seats - Indoor,56,144.964531633,-37.81185964,Vietnamese
McDonalds,Melbourne (CBD),Seats - Indoor,94,144.964507035,-37.81180752,Other Cuisines
