Trading name,CLUE small area,Seating type,Number of seats,Longitude,Latitude,derived_cuisine
Buza Chicken,Melbourne (CBD),Seats - Indoor,121,144.963018917,-37.81073331,Other Cuisines
Byrdi,Melbourne (CBD),Seats - Indoor,62,144.963018917,-37.81073331,Other Cuisines
GOTCHA,Melbourne (CBD),Seats - Indoor,30,144.963018917,-37.81073331,Other Cuisines
Homm Dessert,Melbourne (CBD),Seats - Indoor,50,144.963018917,-37.81073331,Other Cuisines
Nosh,Melbourne (CBD),Seats - Indoor,34,144.963018917,-37.81073331,Other Cuisines
New Shanghai,Melbourne (CBD),Seats - Indoor,95,144.963018917,-37.81073331,Chinese
Miyama,Melbourne (CBD),Seats - Indoor,47,144.963018917,-37.81073331,Other Cuisines
Ajisen Ramen,Melbourne (CBD),Seats - Indoor,79,144.963018917,-37.81073331,Japanese
TGI Fridays Restaurant & Bar,Melbourne (CBD),Seats - Indoor,330,144.963018917,-37.81073331,Western / Pub / Bistro
Billy's Central,Melbourne (CBD),Seats - Indoor,36,144.963018917,-37.81073331,Other Cuisines
Sakura Kaiten Sushi II,Melbourne (CBD),Seats - Indoor,30,144.963996846,-37.81152963,Japanese
David's Master Pot Swanston,Melbourne (CBD),Seats - Outdoor,8,144.964193795,-37.81107765,Other Cuisines
Mr Tulk Cafe,Melbourne (CBD),Seats - Indoor,80,144.965306017,-37.80976881,Cafe / Coffee Shop
Mr Tulk Cafe,Melbourne (CBD),Seats - Outdoor,70,144.965306017,-37.80976881,Cafe / Coffee Shop
The Moat Bar & Cafe,Melbourne (CBD),Seats - Outdoor,30,144.965306017,-37.80976881,Cafe / Coffee Shop
Papion Bites,Melbourne (CBD),Seats - Indoor,70,144.968894912,-37.80907468,Other Cuisines
Famil Lee,Melbourne (CBD),Seats - Indoor,24,144.968828365,-37.80893166,Italian
Global Kitchen Cafe,Melbourne (CBD),Seats - Indoor,66,144.968423011,-37.80861853,Cafe / Coffee Shop
B & B' Guette Cafe,Melbourne (CBD),Seats - Outdoor,12,144.968771771,-37.80881313,Cafe / Coffee Shop
Mr Hoppers,Melbourne (CBD),Seats - Indoor,16,144.968771771,-37.80881313,Other Cuisines
Hansang,West Melbourne (Residential),Seats - Indoor,32,144.953514179,-37.81214526,Other Cuisines
The Dispensa,West Melbourne (Residential),Seats - Indoor,19,144.953251433,-37.81166257,Other Cuisines
The Moghals,West Melbourne (Residential),Seats - Indoor,26,144.953251433,-37.81166257,Other Cuisines
Biryani House,West Melbourne (Residential),Seats - Indoor,42,144.953629457,-37.81236188,Indian
Impresso Cafe,West Melbourne (Residential),Seats - Indoor,16,144.953598901,-37.81229603,Cafe / Coffee Shop
ABC Chicken,Melbourne (CBD),Seats - Indoor,60,144.958211968,-37.81022044,Other Cuisines
The Jazz Corner Cafe,Melbourne (CBD),Seats - Indoor,36,144.956578269,-37.81124427,Cafe / Coffee Shop
Operator 25,Melbourne (CBD),Seats - Outdoor,18,144.957162073,-37.81071591,Other Cuisines
YGF Melbourne,Melbourne (CBD),Seats - Indoor,45,144.960849507,-37.8100143,Other Cuisines
Homm Dessert At Heart,Melbourne (CBD),Seats - Indoor,60,144.960849507,-37.8100143,Other Cuisines
Mamao,Melbourne (CBD),Seats - Indoor,54,144.959029373,-37.81075124,Other Cuisines
Da Tie Niu,Melbourne (CBD),Seats - Indoor,33,144.959136749,-37.8107204,Other Cuisines
Yaki Nau,Melbourne (CBD),Seats - Indoor,80,144.959099041,-37.81002684,Other Cuisines
Darac,Melbourne (CBD),Seats - Outdoor,6,144.962074258,-37.8090975,Other Cuisines
Bowltiful Halal Lanzhou Noodles,Melbourne (CBD),Seats - Indoor,60,144.961451491,-37.80977164,Other Cuisines
Cheng Fu Urban Dessert Buffet,Melbourne (CBD),Seats - Indoor,37,144.961890386,-37.80940205,Other Cuisines
KFC,Melbourne (CBD),Seats - Indoor,28,144.963216993,-37.80904283,Other Cuisines
Boss D,Melbourne (CBD),Seats - Indoor,110,144.96317964,-37.80895593,Other Cuisines
Surasang,Melbourne (CBD),Seats - Indoor,250,144.961953762,-37.80913331,Other Cuisines
Canto cafe e pizzeria,Melbourne (CBD),Seats - Indoor,48,144.964543533,-37.80818156,Italian
Thailicious,Melbourne (CBD),Seats - Indoor,52,144.968173143,-37.80752222,Thai
Karomi Cafe,Melbourne (CBD),Seats - Indoor,12,144.967394785,-37.80768212,Cafe / Coffee Shop
Buza Chicken,Melbourne (CBD),Seats - Indoor,50,144.957993288,-37.80988001,Other Cuisines
Bentoman,Melbourne (CBD),Seats - Indoor,15,144.956601159,-37.81015871,Japanese
Zawaddi,Melbourne (CBD),Seats - Indoor,117,144.959996913,-37.80914342,Other Cuisines
Zawaddi,Melbourne (CBD),Seats - Outdoor,22,144.959996913,-37.80914342,Other Cuisines
Shu Ramen Elizabeth,Melbourne (CBD),Seats - Outdoor,6,144.960424356,-37.80897533,Japanese
Dragon Hot Pot,Melbourne (CBD),Seats - Indoor,26,144.960343859,-37.8088586,Other Cuisines
Jojo Little Kitchen,Melbourne (CBD),Seats - Outdoor,36,144.959575429,-37.80904835,Other Cuisines
Ichigo,Melbourne (CBD),Seats - Indoor,100,144.959575429,-37.80904835,Other Cuisines
Kimsoju,Melbourne (CBD),Seats - Indoor,50,144.958511614,-37.80897917,Other Cuisines
Zhangliang Malatang,Melbourne (CBD),Seats - Indoor,32,144.961006966,-37.8086289,Other Cuisines
Daily Delish,Melbourne (CBD),Seats - Indoor,35,144.961762745,-37.80816922,Other Cuisines
The Vine Coffee Roasters,Melbourne (CBD),Seats - Indoor,40,144.962693205,-37.80826292,Cafe / Coffee Shop
Market Lane Coffee,Melbourne (CBD),Seats - Outdoor,24,144.957205484,-37.80765748,Cafe / Coffee Shop
Romeo Takeaway Cafe,Melbourne (CBD),Seats - Indoor,4,144.957205484,-37.80765748,Cafe / Coffee Shop
Rubens,Melbourne (CBD),Seats - Outdoor,12,144.957205484,-37.80765748,Other Cuisines
Saltwater Sushi And Oyster Bar,Melbourne (CBD),Seats - Indoor,12,144.957205484,-37.80765748,Japanese
3 Brothersss,Melbourne (CBD),Seats - Outdoor,36,144.957205484,-37.80765748,Other Cuisines
Cafe Victoria,Melbourne (CBD),Seats - Indoor,38,144.957205484,-37.80765748,Cafe / Coffee Shop
Cafe Victoria,Melbourne (CBD),Seats - Outdoor,24,144.957205484,-37.80765748,Cafe / Coffee Shop
Kenangan,Melbourne (CBD),Seats - Outdoor,50,144.957205484,-37.80765748,Other Cuisines
Pondok Rempah,Melbourne (CBD),Seats - Outdoor,8,144.959791631,-37.8076029,Other Cuisines
Jasper Kitchen,Melbourne (CBD),Seats - Indoor,65,144.959633112,-37.80750344,Other Cuisines
Publique Bakery,Melbourne (CBD),Seats - Outdoor,18,144.959088605,-37.8076845,Cafe / Coffee Shop
Kombu Qvm Pty Ltd,Melbourne (CBD),Seats - Outdoor,10,144.959088605,-37.8076845,Other Cuisines
The Brick Lane Market,Melbourne (CBD),Seats - Indoor,105,144.958461316,-37.80788769,Other Cuisines
Sarawak Kitchen,Melbourne (CBD),Seats - Outdoor,21,144.95996948,-37.807983,Other Cuisines
Lost In Yunnan Elizabeth,Melbourne (CBD),Seats - Indoor,80,144.960349763,-37.80719768,Other Cuisines
Hwadam BBQ,Melbourne (CBD),Seats - Indoor,90,144.960349763,-37.80719768,Korean
David's Master Pot,Melbourne (CBD),Seats - Outdoor,20,144.960624495,-37.80783746,Other Cuisines
Nisa's Thai Street Food,Melbourne (CBD),Seats - Indoor,98,144.962090701,-37.80728963,Thai
Byblos Bar & Restaurant,Docklands,Seats - Outdoor,80,144.953818379,-37.82273183,Western / Pub / Bistro
Degani Bakery Cafe,Docklands,Seats - Outdoor,26,144.953818379,-37.82273183,Cafe / Coffee Shop
Man Mo @ Wtc,Docklands,Seats - Indoor,150,144.953818379,-37.82273183,Other Cuisines
Tokyo Lamington,Carlton,Seats - Indoor,24,144.965533876,-37.79670704,Other Cuisines
Dumpling & Chinese Cuisine,Carlton,Seats - Indoor,42,144.964899925,-37.79668021,Chinese
Shuji Sushi,Carlton,Seats - Indoor,8,144.96482819,-37.7999972,Japanese
The Studio Beans,Carlton,Seats - Indoor,20,144.96482819,-37.7999972,Other Cuisines
University Cafe / Universita Bar Restaurant,Carlton,Seats - Indoor,120,144.966838206,-37.79947744,Cafe / Coffee Shop
University Cafe / Universita Bar Restaurant,Carlton,Seats - Outdoor,56,144.966838206,-37.79947744,Cafe / Coffee Shop
Lagoon Dining,Carlton,Seats - Outdoor,30,144.966868004,-37.79929755,Other Cuisines
Aperitivo Bar Ristorante,Carlton,Seats - Outdoor,25,144.966910371,-37.79905377,Italian
Cyrus Artlounge,Carlton,Seats - Indoor,22,144.966932478,-37.79901857,Other Cuisines
Agostino,Carlton,Seats - Indoor,90,144.967041148,-37.79838828,Other Cuisines
Tiamo,Carlton,Seats - Outdoor,30,144.967089764,-37.79822136,Other Cuisines
Tiamo,Carlton,Seats - Indoor,60,144.967079227,-37.79817948,Other Cuisines
Tiamo,Carlton,Seats - Outdoor,45,144.967079227,-37.79817948,Other Cuisines
Tiamo,Carlton,Seats - Indoor,30,144.966981693,-37.79812248,Other Cuisines
Milk The Cow Licensed Fromagerie,Carlton,Seats - Indoor,80,144.967125791,-37.79777439,Other Cuisines
Heartattack and Vine,Carlton,Seats - Indoor,50,144.967148225,-37.79764329,Other Cuisines
Jimmy Watson's Wine Bar,Carlton,Seats - Outdoor,40,144.967177892,-37.7975082,Western / Pub / Bistro
Adonai Foods,Carlton,Seats - Outdoor,20,144.969095378,-37.79465838,Other Cuisines
Bossa Nova Coffee And Friends,Carlton,Seats - Outdoor,10,144.969391732,-37.79713752,Cafe / Coffee Shop
Bossa Nova Coffee And Friends,Carlton,Seats - Indoor,25,144.969391732,-37.79713752,Cafe / Coffee Shop
Vincent The Dog,Carlton,Seats - Indoor,18,144.969267888,-37.79777638,Other Cuisines
Masani Italian Dining & Terrace,Carlton,Seats - Outdoor,30,144.968491963,-37.79837995,Italian
The Carlton Wine Room,Carlton,Seats - Outdoor,20,144.968585611,-37.79858383,Other Cuisines
Brunetti Classico Carlton,Carlton,Seats - Outdoor,100,144.968178866,-37.79803089,Other Cuisines
Sea Salt Kitchen,Carlton,Seats - Outdoor,22,144.967634649,-37.79832944,Other Cuisines
Donnini's Restaurant,Carlton,Seats - Outdoor,24,144.967510433,-37.79953749,Other Cuisines
Copperwood,Carlton,Seats - Outdoor,33,144.967600033,-37.79962339,Other Cuisines
Divine Darbar Indian Restaurant and Bar,Carlton,Seats - Indoor,89,144.967333819,-37.80013942,Indian
Paris Go Bistro,Carlton,Seats - Indoor,50,144.970884118,-37.79695652,Western / Pub / Bistro
Fenton Bistro,Carlton,Seats - Indoor,26,144.971086189,-37.79578979,Western / Pub / Bistro
Okra Sri Lankan Cuisine,Carlton,Seats - Indoor,20,144.971140453,-37.79543507,Other Cuisines
Bar Bellamy,Carlton,Seats - Outdoor,12,144.971131911,-37.79547684,Western / Pub / Bistro
Al Dente Sapori,Carlton,Seats - Indoor,66,144.974806593,-37.7963885,Other Cuisines
Scopri Italian Food & Wine,Carlton,Seats - Indoor,60,144.974922089,-37.79568657,Italian
Books N Bites Cafe,Carlton,Seats - Outdoor,12,144.958328684,-37.80169537,Cafe / Coffee Shop
Baretto Cafe,Carlton,Seats - Indoor,120,144.959280641,-37.80023307,Cafe / Coffee Shop
Cafe Commercio,Carlton,Seats - Indoor,115,144.958820263,-37.80155731,Cafe / Coffee Shop
The Dumplings & Tea Co,Carlton,Seats - Indoor,18,144.963414226,-37.80087264,Chinese
The Dumplings & Tea Co,Carlton,Seats - Outdoor,19,144.963414226,-37.80087264,Chinese
KFC Carlton,Carlton,Seats - Indoor,22,144.963642266,-37.8006201,Other Cuisines
Master Fiery,Carlton,Seats - Indoor,40,144.963642266,-37.8006201,Other Cuisines
Gyoza San,Carlton,Seats - Indoor,36,144.965103662,-37.80077102,Other Cuisines
Chargrilled Vietnamese Kitchen,Carlton,Seats - Indoor,26,144.965626451,-37.80132569,Vietnamese
Don Tojo,Carlton,Seats - Outdoor,15,144.965626451,-37.80132569,Other Cuisines
Don Tojo,Carlton,Seats - Indoor,48,144.965626451,-37.80132569,Other Cuisines
Shooter McGavins,Carlton,Seats - Outdoor,30,144.965624121,-37.80080042,Other Cuisines
Kabana Restaurant,Carlton,Seats - Indoor,30,144.96644595,-37.80178513,Other Cuisines
Stuzzichino,Carlton,Seats - Outdoor,30,144.966456885,-37.80171819,Other Cuisines
Tabouli,Carlton,Seats - Indoor,45,144.966488036,-37.8011904,Other Cuisines
Cairo Nights Restaurant & Bar,Carlton,Seats - Indoor,50,144.967324233,-37.80137656,Western / Pub / Bistro
Piccolo Mondo,Carlton,Seats - Indoor,120,144.967246341,-37.80158026,Other Cuisines
Leonardo's Pizza Palace,Carlton,Seats - Indoor,80,144.968597488,-37.80116198,Italian
Market Cafe / Station Cafe / Mercury Restaurant,Carlton,Seats - Indoor,215,144.971635508,-37.80401887,Cafe / Coffee Shop
Nefes,Carlton,Seats - Indoor,100,144.966780013,-37.80305855,Other Cuisines
Khabbay Restaurant,Carlton,Seats - Indoor,120,144.966723095,-37.803783,Other Cuisines
Hakata Gensuke Carlton,Carlton,Seats - Indoor,22,144.966699249,-37.80443778,Other Cuisines
Hakata Gensuke Carlton,Carlton,Seats - Outdoor,8,144.966699249,-37.80443778,Other Cuisines
Kantin,Carlton,Seats - Outdoor,16,144.966699249,-37.80443778,Other Cuisines
Ying Thai 2,Carlton,Seats - Outdoor,20,144.966699249,-37.80443778,Thai
KITCHEN OF THE KING,Carlton,Seats - Indoor,50,144.965949772,-37.80467681,Other Cuisines
Kazuki's Restaurant,Carlton,Seats - Indoor,40,144.966024118,-37.80415049,Other Cuisines
Mercadante Pizza,Carlton,Seats - Indoor,45,144.966034229,-37.80408996,Italian
La Cabra Carlton,Carlton,Seats - Indoor,40,144.966117861,-37.80366248,Other Cuisines
Fattie Prince,Carlton,Seats - Indoor,45,144.963640222,-37.80430744,Other Cuisines
Adozen Adozen,Carlton,Seats - Indoor,20,144.962784486,-37.80429344,Other Cuisines
Bar Holiday,Carlton,Seats - Indoor,50,144.962781304,-37.80336259,Western / Pub / Bistro
Stovetop,Carlton,Seats - Indoor,70,144.960971679,-37.80335267,Other Cuisines
Stovetop,Carlton,Seats - Outdoor,16,144.960971679,-37.80335267,Other Cuisines
More Tea,Carlton,Seats - Indoor,20,144.958240197,-37.80219264,Cafe / Coffee Shop
Arabesque,Carlton,Seats - Indoor,80,144.958614249,-37.80328692,Other Cuisines
Humble Rays,Carlton,Seats - Indoor,60,144.961410001,-37.80477948,Other Cuisines
Manja Melbourne,Carlton,Seats - Indoor,60,144.960508626,-37.80570036,Other Cuisines
Laurus - Lou Mei Fun,Carlton,Seats - Indoor,95,144.961940792,-37.80614561,Other Cuisines
Soul Soul Cafe,Carlton,Seats - Indoor,60,144.961940792,-37.80614561,Cafe / Coffee Shop
Woodside Green,Carlton,Seats - Indoor,18,144.964446103,-37.80486182,Other Cuisines
Torissong,Carlton,Seats - Indoor,16,144.963920625,-37.80493297,Other Cuisines
Oxi Tea Room,Carlton,Seats - Indoor,16,144.963716758,-37.80521815,Cafe / Coffee Shop
Oxi Tea Room,Carlton,Seats - Outdoor,6,144.963716758,-37.80521815,Cafe / Coffee Shop
The Budapest Cafe,Carlton,Seats - Indoor,32,144.963716758,-37.80521815,Cafe / Coffee Shop
Boogie House Hotpot,Carlton,Seats - Indoor,48,144.963330013,-37.8060084,Chinese
Panda Hot Pot,Carlton,Seats - Indoor,198,144.964175958,-37.80649729,Other Cuisines
Coffee On Cardigan,Carlton,Seats - Outdoor,68,144.963957764,-37.80593475,Cafe / Coffee Shop
Ej's Cafe,Carlton,Seats - Indoor,50,144.965492645,-37.80548997,Cafe / Coffee Shop
Chinger Biang Biang Noodle,Carlton,Seats - Indoor,20,144.965352526,-37.80670091,Other Cuisines
Hi Chong Qing Cafe & Noodle Bar,Carlton,Seats - Indoor,20,144.965400643,-37.80634019,Chinese
Epocha Restaurant,Carlton,Seats - Outdoor,30,144.968594354,-37.80578725,Korean
The Potter Espresso Bar,Parkville,Seats - Indoor,18,144.961258672,-37.79738772,Cafe / Coffee Shop
Journeys Cafe by ASRC,Parkville,Seats - Indoor,20,144.961258672,-37.79738772,Cafe / Coffee Shop
Dr Dax Kitchen,Parkville,Seats - Outdoor,50,144.961258672,-37.79738772,Other Cuisines
Sage And Grace - The Communitas Café,Parkville,Seats - Indoor,50,144.960593135,-37.79301729,Other Cuisines
The Humble Goat,North Melbourne,Seats - Outdoor,4,144.938522996,-37.79589356,Other Cuisines
North End Deli,North Melbourne,Seats - Outdoor,8,144.938197912,-37.79557662,Other Cuisines
Palette,North Melbourne,Seats - Indoor,24,144.94713843,-37.80252643,Other Cuisines
Twenty & Six Espresso,North Melbourne,Seats - Outdoor,20,144.947539147,-37.80257071,Cafe / Coffee Shop
Toast Kitchen Cafe,North Melbourne,Seats - Outdoor,24,144.94904224,-37.80463699,Cafe / Coffee Shop
Char Siu House,North Melbourne,Seats - Indoor,38,144.949085065,-37.80412429,Other Cuisines
Wonky Trolley,North Melbourne,Seats - Outdoor,18,144.94904753,-37.80390823,Other Cuisines
Wonky Trolley,North Melbourne,Seats - Indoor,30,144.94904753,-37.80390823,Other Cuisines
Bistro De Paris,North Melbourne,Seats - Outdoor,10,144.949205167,-37.80360299,Western / Pub / Bistro
Errol's Cafe,North Melbourne,Seats - Outdoor,30,144.949083435,-37.80345572,Cafe / Coffee Shop
Snax Cafe,North Melbourne,Seats - Outdoor,18,144.94928705,-37.80323404,Cafe / Coffee Shop
Lumen People,North Melbourne,Seats - Outdoor,4,144.94871348,-37.80474738,Other Cuisines
Auction Rooms Cafe,North Melbourne,Seats - Indoor,104,144.949460849,-37.8024571,Cafe / Coffee Shop
French Quarter Patisserie,North Melbourne,Seats - Outdoor,14,144.948475718,-37.80271264,Cafe / Coffee Shop
French Quarter Patisserie,North Melbourne,Seats - Indoor,24,144.948475718,-37.80271264,Cafe / Coffee Shop
KL Bunga Raya,North Melbourne,Seats - Outdoor,15,144.949722464,-37.80435713,Other Cuisines
Sosta Cucina,North Melbourne,Seats - Indoor,60,144.949568839,-37.80483255,Other Cuisines
Sosta Cucina,North Melbourne,Seats - Outdoor,22,144.949568839,-37.80483255,Other Cuisines
Arbutus,North Melbourne,Seats - Outdoor,12,144.949580943,-37.80489365,Other Cuisines
Roasting Warehouse,North Melbourne,Seats - Outdoor,48,144.950594501,-37.80447359,Other Cuisines
El Sabor,North Melbourne,Seats - Outdoor,4,144.949681151,-37.804917,Other Cuisines
Le Bajo,North Melbourne,Seats - Indoor,28,144.954243272,-37.80509175,Other Cuisines
Pho Victoria,North Melbourne,Seats - Indoor,38,144.953960605,-37.80542263,Vietnamese
Sakedokoro Namara,North Melbourne,Seats - Outdoor,20,144.954338535,-37.80537801,Other Cuisines
Maria's Trattoria,North Melbourne,Seats - Indoor,80,144.956459859,-37.80519937,Italian
Melbourne Toodouri,North Melbourne,Seats - Indoor,60,144.957723661,-37.80583959,Other Cuisines
Dancing Flame Charcoal Grill,North Melbourne,Seats - Indoor,50,144.958291779,-37.80471151,Western / Pub / Bistro
Gai Wong,North Melbourne,Seats - Indoor,40,144.955871244,-37.80140031,Other Cuisines
Gai Wong,North Melbourne,Seats - Outdoor,18,144.955871244,-37.80140031,Other Cuisines
Sinjeon,North Melbourne,Seats - Indoor,20,144.955200107,-37.80067768,Other Cuisines
A Treat of France,North Melbourne,Seats - Indoor,32,144.955169656,-37.80032188,Other Cuisines
Joe's Eatery,North Melbourne,Seats - Indoor,72,144.954318992,-37.7997297,Other Cuisines
Avist Cafe,North Melbourne,Seats - Indoor,40,144.952705279,-37.79844294,Cafe / Coffee Shop
Avist Cafe,North Melbourne,Seats - Outdoor,34,144.952705279,-37.79844294,Cafe / Coffee Shop
Sassy Italian Restaurant,West Melbourne (Residential),Seats - Indoor,100,144.942416906,-37.80671459,Italian
Tong Fu Garden Melbourne,West Melbourne (Residential),Seats - Indoor,60,144.944447036,-37.80624547,Other Cuisines
Tong Fu Garden Melbourne,West Melbourne (Residential),Seats - Outdoor,36,144.944447036,-37.80624547,Other Cuisines
Hunters And Disciples,West Melbourne (Residential),Seats - Outdoor,10,144.945352806,-37.8068965,Other Cuisines
Butcher Shop Cafe,West Melbourne (Residential),Seats - Indoor,10,144.945577948,-37.8080043,Cafe / Coffee Shop
The Kathmandu Cottage,West Melbourne (Residential),Seats - Indoor,60,144.949792546,-37.80539371,Other Cuisines
279,West Melbourne (Residential),Seats - Indoor,25,144.951970327,-37.80566937,Other Cuisines
Le Taj Restaurant,West Melbourne (Residential),Seats - Indoor,50,144.952039324,-37.80775631,Other Cuisines
Little Africa,West Melbourne (Residential),Seats - Indoor,28,144.954044804,-37.80590009,Other Cuisines
So Thai Tapas & Street Food,West Melbourne (Residential),Seats - Indoor,55,144.955351089,-37.80759351,Thai
Hello Jose,West Melbourne (Residential),Seats - Indoor,20,144.955584299,-37.80619737,Other Cuisines
Kare,West Melbourne (Residential),Seats - Indoor,25,144.955603657,-37.80606639,Other Cuisines
Pretty Sichuan Taste,West Melbourne (Residential),Seats - Indoor,20,144.955603657,-37.80606639,Other Cuisines
Fuumi Fuumi,West Melbourne (Residential),Seats - Indoor,20,144.950650784,-37.80906098,Other Cuisines
Fuumi Fuumi,West Melbourne (Residential),Seats - Outdoor,8,144.950650784,-37.80906098,Other Cuisines
Shiraaz By Rajputana,West Melbourne (Residential),Seats - Indoor,80,144.948450986,-37.81025507,Other Cuisines
The Studio Beans,West Melbourne (Residential),Seats - Outdoor,6,144.948450986,-37.81025507,Other Cuisines
Angkor,West Melbourne (Residential),Seats - Indoor,39,144.949895376,-37.81158829,Other Cuisines
Kensington Canteen,Kensington,Seats - Indoor,30,144.93036435,-37.79956864,Other Cuisines
Local Folk Cafe,Kensington,Seats - Indoor,45,144.925609612,-37.79223674,Cafe / Coffee Shop
The Grazing Paddock Cafe,Kensington,Seats - Indoor,38,144.916890323,-37.78417751,Cafe / Coffee Shop
Hem 27,Kensington,Seats - Indoor,40,144.915521168,-37.78257295,Other Cuisines
Pacinos Italian Restaurant,Kensington,Seats - Outdoor,34,144.915521168,-37.78257295,Italian
Il Duca Restaurant,East Melbourne,Seats - Outdoor,5,144.985591495,-37.81618514,Italian
Il Duca Restaurant,East Melbourne,Seats - Indoor,60,144.985591495,-37.81618514,Italian
The Grey Smith,East Melbourne,Seats - Indoor,28,144.985988908,-37.81609348,Other Cuisines
Tadka Hut Indian Cuisine,East Melbourne,Seats - Indoor,40,144.98730737,-37.8163489,Indian
Square & Compass,East Melbourne,Seats - Outdoor,13,144.984112154,-37.80970434,Other Cuisines
Square & Compass,East Melbourne,Seats - Indoor,51,144.984112154,-37.80970434,Other Cuisines
Grocery Bar East Melbourne,East Melbourne,Seats - Outdoor,25,144.985625385,-37.81004656,Western / Pub / Bistro
Alley Cat,East Melbourne,Seats - Indoor,50,144.985625385,-37.81004656,Other Cuisines
Grocery Bar East Melbourne,East Melbourne,Seats - Indoor,46,144.985625385,-37.81004656,Western / Pub / Bistro
Zouki Cafe,East Melbourne,Seats - Indoor,15,144.984161853,-37.81229599,Cafe / Coffee Shop
Laurent Boulangerie Patisserie,East Melbourne,Seats - Indoor,51,144.984834136,-37.81608793,Cafe / Coffee Shop
My Sushi Japanese Cafe,East Melbourne,Seats - Outdoor,6,144.984834136,-37.81608793,Japanese
My Sushi Japanese Cafe,East Melbourne,Seats - Indoor,22,144.984834136,-37.81608793,Japanese
Solah,East Melbourne,Seats - Indoor,44,144.979979104,-37.80919457,Other Cuisines
East Side Story Bar + Cafe,East Melbourne,Seats - Indoor,58,144.974887122,-37.80862592,Cafe / Coffee Shop
The Glasshouse Eatery,Melbourne (Remainder),Seats - Indoor,70,144.982385438,-37.82487805,Other Cuisines
The Glasshouse Eatery,Melbourne (Remainder),Seats - Outdoor,46,144.982385438,-37.82487805,Other Cuisines
Delisure Kitchen,Melbourne (Remainder),Seats - Indoor,30,144.975719407,-37.83548357,Other Cuisines
Nar Bangkok,Melbourne (Remainder),Seats - Outdoor,13,144.975719407,-37.83548357,Thai
Giro D’Italia,Melbourne (Remainder),Seats - Indoor,78,144.97604258,-37.83570366,Other Cuisines
Giro D’Italia,Melbourne (Remainder),Seats - Outdoor,8,144.97604258,-37.83570366,Other Cuisines
McDonald's,Melbourne (Remainder),Seats - Indoor,34,144.976192013,-37.83615254,Other Cuisines
Gentleman George,Melbourne (Remainder),Seats - Outdoor,20,144.976209572,-37.836275,Other Cuisines
Tokyo Sushi Kitchen St Kilda,Melbourne (Remainder),Seats - Outdoor,10,144.977042736,-37.83774552,Japanese
Aromatic Espresso,Melbourne (Remainder),Seats - Indoor,40,144.977042736,-37.83774552,Cafe / Coffee Shop
Tokyo Sushi Kitchen St Kilda,Melbourne (Remainder),Seats - Indoor,28,144.977042736,-37.83774552,Japanese
Slater St Bench,Melbourne (Remainder),Seats - Outdoor,32,144.977193113,-37.83854242,Other Cuisines
Shuji Sushi Chevron,Melbourne (Remainder),Seats - Indoor,14,144.979819038,-37.8455379,Japanese
Tapenade Melbourne,Melbourne (Remainder),Seats - Indoor,30,144.979819038,-37.8455379,Other Cuisines
Cafe La Colline,Melbourne (Remainder),Seats - Indoor,16,144.979819038,-37.8455379,Cafe / Coffee Shop
Cafe La Colline,Melbourne (Remainder),Seats - Outdoor,22,144.979819038,-37.8455379,Cafe / Coffee Shop
Hawker Canteen,Melbourne (Remainder),Seats - Outdoor,16,144.979819038,-37.8455379,Other Cuisines
Nando's Chevron,Melbourne (Remainder),Seats - Indoor,12,144.979819038,-37.8455379,Other Cuisines
Nando's Chevron,Melbourne (Remainder),Seats - Outdoor,20,144.979819038,-37.8455379,Other Cuisines
Rice @ Chevron,Melbourne (Remainder),Seats - Indoor,24,144.979819038,-37.8455379,Other Cuisines
Cafe Ella,Melbourne (Remainder),Seats - Outdoor,43,144.980378149,-37.84685298,Cafe / Coffee Shop
McDonalds,Southbank,Seats - Indoor,50,144.957875171,-37.82832668,Other Cuisines
A Treat of France,Southbank,Seats - Indoor,25,144.959050704,-37.82730522,Other Cuisines
Circolo,Southbank,Seats - Indoor,18,144.959336791,-37.82786327,Other Cuisines
Circolo,Southbank,Seats - Outdoor,8,144.959336791,-37.82786327,Other Cuisines
Edwin Wine Bar,Southbank,Seats - Indoor,72,144.958224358,-37.8271138,Western / Pub / Bistro
10 Hoff Cafe,Southbank,Seats - Indoor,30,144.963565642,-37.82580013,Cafe / Coffee Shop
Blondie Bar,Southbank,Seats - Indoor,50,144.967877726,-37.82413111,Western / Pub / Bistro
Blondie Bar,Southbank,Seats - Outdoor,80,144.967877726,-37.82413111,Western / Pub / Bistro
Hungry Jack's,Southbank,Seats - Indoor,30,144.963860787,-37.82864999,Other Cuisines
Malthouse Theatre Cafe,Southbank,Seats - Indoor,100,144.966959082,-37.8271278,Cafe / Coffee Shop
Jubilee On Dorcas,Southbank,Seats - Outdoor,30,144.966296035,-37.83070461,Other Cuisines
Ayams Chef,Southbank,Seats - Outdoor,16,144.967959041,-37.82998246,Other Cuisines
Gordon Espresso,Southbank,Seats - Indoor,40,144.967959041,-37.82998246,Cafe / Coffee Shop
Gordon Espresso,Southbank,Seats - Outdoor,48,144.967959041,-37.82998246,Cafe / Coffee Shop
Ayams Chef,Southbank,Seats - Indoor,80,144.967959041,-37.82998246,Other Cuisines
Rosella x 31,Southbank,Seats - Outdoor,10,144.970707242,-37.82912559,Other Cuisines
Coventry Pantry,Southbank,Seats - Indoor,84,144.96939214,-37.82956555,Other Cuisines
